"","temp","temp.sd","temp.se","bin"
"0",0.0646620499462221,0.037192380543106,0.018596190271553,0
"200",0.0296496679039173,0.00524449959296328,0.00262224979648164,200
"400",0.0355243649674245,0.00685459200441368,0.00342729600220684,400
"600",0.067223445211305,0.00976758919800447,0.00488379459900224,600
"800",0.0831617063154207,0.00428059878893761,0.00214029939446881,800
"1000",0.120484459842119,0.0187342088289287,0.00936710441446435,1000
"1200",0.168163598310316,0.00703437491382031,0.00351718745691016,1200
"1400",0.142440977083913,0.0136211397343108,0.00681056986715538,1400
"1600",0.134623989255529,0.00560416146269959,0.0028020807313498,1600
"1800",0.144188281815087,0.00172327287256717,0.000861636436283583,1800
"2000",0.160079803485003,0.0121986207388057,0.00609931036940287,2000
"2200",0.20117946693849,0.0114056745860621,0.00570283729303107,2200
"2400",0.219815936589014,0.0018850394455583,0.000942519722779151,2400
"2600",0.224284778592525,0.00338929361851289,0.00169464680925645,2600
"2800",0.252277921132996,0.0136051762629835,0.00680258813149173,2800
"3000",0.28896056293147,0.0084507220580227,0.00422536102901135,3000
"3200",0.305295080902785,0.00510919049899232,0.00255459524949616,3200
"3400",0.328973986637766,0.00821975334799821,0.00410987667399911,3400
"3600",0.356815066871783,0.0100284256344109,0.00501421281720544,3600
"3800",0.368656876579073,0.00245864602232092,0.00122932301116046,3800
"4000",0.361876253607228,0.000838580589412119,0.000419290294706059,4000
"4200",0.357321791645968,0.00290020580666468,0.00145010290333234,4200
"4400",0.361997831715437,0.0063841318661022,0.0031920659330511,4400
"4600",0.384977108842921,0.0079573832901342,0.0039786916450671,4600
"4800",0.41154492294364,0.0091120257614669,0.00455601288073345,4800
"5000",0.43085962246541,0.00266366526002911,0.00133183263001456,5000
"5200",0.442452309168125,0.00523105062412084,0.00261552531206042,5200
"5400",0.449955403947751,0.0020140362835464,0.0010070181417732,5400
"5600",0.468593224046246,0.00892697241739088,0.00446348620869544,5600
"5800",0.490573973591227,0.00545536446440748,0.00272768223220374,5800
"6000",0.515567282421827,0.00972950447557252,0.00486475223778626,6000
"6200",0.532624836916039,0.00148955483437358,0.00074477741718679,6200
"6400",0.535656878031814,0.000922461528863129,0.000461230764431564,6400
"6600",0.537875132434051,0.00176328012208388,0.000881640061041938,6600
"6800",0.524994215303464,0.00503767723195361,0.0025188386159768,6800
"7000",0.512314347064652,0.00360441244269049,0.00180220622134524,7000
"7200",0.490809364806526,0.00952164388890959,0.0047608219444548,7200
"7400",0.462249580869023,0.0101990153441413,0.00509950767207067,7400
"7600",0.436702535630323,0.00541149284651097,0.00270574642325548,7600
"7800",0.415116051061287,0.00962576090679538,0.00481288045339769,7800
"8000",0.384409958908627,0.00931591201972008,0.00465795600986004,8000
"8200",0.350712216561412,0.011059659308418,0.005529829654209,8200
"8400",0.326769097489025,0.00445182288734387,0.00222591144367194,8400
"8600",0.308900698016864,0.00756948817326156,0.00378474408663078,8600
"8800",0.292082666289791,0.00298325317523878,0.00149162658761939,8800
"9000",0.283869690090243,0.00257139107353537,0.00128569553676769,9000
"9200",0.272004322021408,0.00507857084953907,0.00253928542476954,9200
"9400",0.254196895224491,0.00684286394295365,0.00342143197147683,9400
"9600",0.225956953637248,0.013148749908175,0.00657437495408748,9600
"9800",0.174535708439479,0.0181757384456329,0.00908786922281644,9800
"10000",0.116313905462603,0.0192927759384696,0.0096463879692348,10000
"10200",0.0628794971919179,0.0157606907789948,0.0078803453894974,10200
"10400",0.00540961130855388,0.0219321963216587,0.0109660981608293,10400
"10600",-0.08258625481121,0.0329608477833609,0.0164804238916804,10600
"10800",-0.184885740251986,0.0326790876148188,0.0163395438074094,10800
"11000",-0.293031679043641,0.0397095416285402,0.0198547708142701,11000
"11200",-0.424547173670611,0.0425081888851604,0.0212540944425802,11200
"11400",-0.555603713888073,0.0437373574840456,0.0218686787420228,11400
"11600",-0.719864641330133,0.0615065935427025,0.0307532967713512,11600
"11800",-0.905206541024748,0.056675607409131,0.0283378037045655,11800
"12000",-1.09065543970284,0.0607919463649834,0.0303959731824917,12000
"12200",-1.23009443363485,0.0341045769187804,0.0170522884593902,12200
"12400",-1.37232336550475,0.0543438779862657,0.0271719389931328,12400
"12600",-1.48304758606074,0.0125006478357025,0.00625032391785123,12600
"12800",-1.45311344219173,0.0246628351176661,0.0123314175588331,12800
"13000",-1.3841062209603,0.0182646318429631,0.00913231592148157,13000
"13200",-1.30485582611636,0.0335267966901084,0.0167633983450542,13200
"13400",-1.22598561562457,0.0104559190884148,0.00522795954420738,13400
"13600",-1.24528441732163,0.0130707074252208,0.00653535371261039,13600
"13800",-1.30763865486365,0.0302661926801723,0.0151330963400861,13800
"14000",-1.38958909344319,0.0173367010019001,0.00866835050095004,14000
"14200",-1.44457302644802,0.0258197345322172,0.0129098672661086,14200
"14400",-1.57265114839925,0.0575231118575382,0.0287615559287691,14400
"14600",-1.79960243067296,0.0832904926479527,0.0416452463239763,14600
"14800",-2.0294062093472,0.0620357986785353,0.0310178993392676,14800
"15000",-2.17540673475992,0.0328395198936513,0.0164197599468256,15000
"15200",-2.25442272892252,0.0209708434940977,0.0104854217470489,15200
"15400",-2.31996909788111,0.0235205147716093,0.0117602573858047,15400
"15600",-2.39445094176559,0.0227277360057167,0.0113638680028583,15600
"15800",-2.46426806921511,0.0222819206217419,0.0111409603108709,15800
"16000",-2.53800661796421,0.0257307311175551,0.0128653655587775,16000
"16200",-2.61818372980751,0.0258516307612155,0.0129258153806077,16200
"16400",-2.69826453863749,0.0259140120104032,0.0129570060052016,16400
"16600",-2.77823147538175,0.0251525324785898,0.0125762662392949,16600
"16800",-2.84490701496218,0.017886437559714,0.00894321877985702,16800
"17000",-2.90664164376066,0.0263891879021582,0.0131945939510791,17000
"17200",-2.98422010822522,0.0158386657747159,0.00791933288735797,17200
"17400",-3.00314432653835,0.00348534218280166,0.00174267109140083,17400
"17600",-3.0202577214027,0.0065384010632532,0.0032692005316266,17600
"17800",-3.04392213167787,0.0094831961892958,0.0047415980946479,17800
"18000",-3.07890527311891,0.0142871777235285,0.00714358886176426,18000
"18200",-3.11931558312603,0.00907458385011229,0.00453729192505615,18200
"18400",-3.14111444024285,0.00711163623598464,0.00355581811799232,18400
"18600",-3.1695951293646,0.0108004935440028,0.00540024677200142,18600
"18800",-3.2109497397961,0.0125119821043524,0.0062559910521762,18800
"19000",-3.2168866747223,0.0049853548741699,0.00249267743708495,19000
"19200",-3.22397043706491,0.00820018856704868,0.00410009428352434,19200
"19400",-3.2220456594871,0.0111939236066017,0.00559696180330083,19400
"19600",-3.19104517283268,0.0047454581282675,0.00237272906413375,19600
"19800",-3.20398771073402,0.0103182911771014,0.0051591455885507,19800
"20000",-3.22779386781051,0.00462420358260012,0.00231210179130006,20000
"20200",-3.24498975561198,0.00559325369476166,0.00279662684738083,20200
"20400",-3.26061453119737,0.00628604933496475,0.00314302466748237,20400
"20600",-3.28075574521494,0.00659576669937009,0.00329788334968505,20600
"20800",-3.30032948922492,0.0055049624242122,0.0027524812121061,20800
"21000",-3.31236136813628,0.00414213087263925,0.00207106543631962,21000
"21200",-3.33102045888324,0.00784242714060981,0.00392121357030491,21200
"21400",-3.35884540934476,0.0081503533629186,0.0040751766814593,21400
"21600",-3.36926204793823,0.000267099082770914,0.000133549541385457,21600
"21800",-3.36054988678228,0.00768124692744503,0.00384062346372252,21800
"22000",-3.34087895613523,0.00455384642357848,0.00322005568659445,22000
